,kd,blowup,mcbe
0,0.9125,0.9108,0.6635
1,0.9128,0.908,0.6651
2,0.9155,0.9091,0.6669
3,0.9149,0.9087,0.6647
4,0.9131,0.9094,0.6599
5,0.9142,0.911,0.6646
6,0.9149,0.9086,0.6615
7,0.9127,0.9081,0.6647
8,0.9133,0.9088,0.6625
9,0.9151,0.9101,0.663
