,kd,blowup,mcbe
0,0.722,0.742,0.038
1,0.72,0.748,0.038
2,0.716,0.75,0.038
3,0.716,0.74,0.038
4,0.724,0.74,0.038
5,0.728,0.75,0.038
6,0.738,0.742,0.038
7,0.742,0.744,0.038
8,0.752,0.746,0.038
9,0.728,0.75,0.038
